userId,userName,preferredCategoryNodeId,preferredCategoryNodeValue,internalRatingNodeId,internalRatingNodeValue,mathCategoryNodeId,mathCategoryNodeValue
86cc30b1-d71b-4c65-b752-e51e1c5abac0,RadiantSymphony_901,ebd5f9c8-5ad8-4f33-900a-95a422f779c7,653,8323fdc1-5603-4f78-96d6-35972eb2da40,286,10e640e1-8e1e-4a37-ac2c-b38ce219a169,683
dc25fa2f-65f8-462f-bcb6-0d2f475117cf,BreathtakingOcean_88,ebd5f9c8-5ad8-4f33-900a-95a422f779c7,273,8323fdc1-5603-4f78-96d6-35972eb2da40,635,10e640e1-8e1e-4a37-ac2c-b38ce219a169,12
c5883be6-2e41-4422-aedc-0796b1839f40,JubilantEcho_901,,,8323fdc1-5603-4f78-96d6-35972eb2da40,877,10e640e1-8e1e-4a37-ac2c-b38ce219a169,18
068c9282-dd15-4938-80cd-6a88f705a168,CaptivatingHarmony_959,ebd5f9c8-5ad8-4f33-900a-95a422f779c7,277,8323fdc1-5603-4f78-96d6-35972eb2da40,638,,
c2e988fe-6edc-41af-ba6d-361275b9b44f,ExquisiteWhisper_767,ebd5f9c8-5ad8-4f33-900a-95a422f779c7,243,8323fdc1-5603-4f78-96d6-35972eb2da40,969,10e640e1-8e1e-4a37-ac2c-b38ce219a169,60
a31f8546-2f9d-4a41-8563-f1544e70af6d,CaptivatingCastle_684,,,8323fdc1-5603-4f78-96d6-35972eb2da40,390,10e640e1-8e1e-4a37-ac2c-b38ce219a169,662
f3779a97-fbe3-4007-930e-4586a1619dfc,RadiantSymphony_161,,,8323fdc1-5603-4f78-96d6-35972eb2da40,749,,
27cc1062-7ecb-4d0e-ae85-7beb9bf3c175,SpiritedWonder_411,,,8323fdc1-5603-4f78-96d6-35972eb2da40,195,10e640e1-8e1e-4a37-ac2c-b38ce219a169,570
c9a23812-0977-4430-9d44-e4f3ddc304c3,EnigmaticCastle_310,ebd5f9c8-5ad8-4f33-900a-95a422f779c7,827,,,10e640e1-8e1e-4a37-ac2c-b38ce219a169,684
f6a12f91-abca-4d96-9022-8d9abf0b5cd0,CaptivatingHarmony_875,,,,,,
0aa1745d-4104-4f00-a109-d0507d553935,BreathtakingHarmony_307,ebd5f9c8-5ad8-4f33-900a-95a422f779c7,908,8323fdc1-5603-4f78-96d6-35972eb2da40,553,10e640e1-8e1e-4a37-ac2c-b38ce219a169,482
6c73e566-126d-45dc-aa7c-1522a011f2a4,MajesticMeadow_55,,,8323fdc1-5603-4f78-96d6-35972eb2da40,367,,
